GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | XG -> LZ | LO -> XT | EO -> GL | XG -> LZ | GOTZ -> ELPX | EO -> GL | PZ -> EG | LT -> EZ | XG -> LZ | PG -> XO | EO -> GL | PG -> XO | EO -> GL | PG -> XO | LO -> XT | LT -> EZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | XG -> LZ | LO -> XT | EO -> GL | LO -> XT | PG -> XO | GOTZ -> ELPX | EO -> GL | PG -> XO | PZ -> EG | LT -> EZ | EO -> GL | LT -> EZ | XG -> LZ | PG -> XO | EO -> GL | XG -> LZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | XG -> LZ | LO -> XT | EO -> GL | LO -> XT | PG -> XO | PZ -> EG | EO -> GL | PG -> XO | LT -> EZ | GOTZ -> ELPX | EO -> GL | LT -> EZ | XG -> LZ | PG -> XO | EO -> GL | XG -> LZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | XG -> LZ | LO -> XT | XG -> LZ | LT -> EZ | EO -> GL | LO -> XT | EO -> GL | PZ -> EG | PG -> XO | GOTZ -> ELPX | PG -> XO | EO -> GL | PG -> XO | LT -> EZ | EO -> GL | XG -> LZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | XG -> LZ | LO -> XT | XG -> LZ | LT -> EZ | EO -> GL | LO -> XT | PG -> XO | PZ -> EG | EO -> GL | GOTZ -> ELPX | PG -> XO | EO -> GL | PG -> XO | LT -> EZ | EO -> GL | XG -> LZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | XG -> LZ | LO -> XT | XG -> LZ | LT -> EZ | EO -> GL | LT -> EZ | EO -> GL | PZ -> EG | PG -> XO | PG -> XO | LO -> XT | EO -> GL | GOTZ -> ELPX | PG -> XO | EO -> GL | XG -> LZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | XG -> LZ | LO -> XT | XG -> LZ | LT -> EZ | EO -> GL | LT -> EZ | PG -> XO | EO -> GL | PG -> XO | PZ -> EG | LO -> XT | EO -> GL | GOTZ -> ELPX | PG -> XO | EO -> GL | XG -> LZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | PZ -> EG | XG -> LZ | LO -> XT | XG -> LZ | LO -> XT | EO -> GL | EO -> GL | LT -> EZ | PG -> XO | GOTZ -> ELPX | PG -> XO | EO -> GL | PG -> XO | LT -> EZ | EO -> GL | XG -> LZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | PZ -> EG | XG -> LZ | LT -> EZ | EO -> GL | PG -> XO | PG -> XO | EO -> GL | EO -> GL | LO -> XT | GOTZ -> ELPX | XG -> LZ | EO -> GL | XG -> LZ | PG -> XO | LO -> XT | LT -> EZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | PZ -> EG | XG -> LZ | LT -> EZ | EO -> GL | PG -> XO | PG -> XO | XG -> LZ | LO -> XT | LO -> XT | EO -> GL | GOTZ -> ELPX | EO -> GL | PG -> XO | LT -> EZ | EO -> GL | XG -> LZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | PZ -> EG | XG -> LZ | LT -> EZ | EO -> GL | PG -> XO | XG -> LZ | EO -> GL | EO -> GL | LO -> XT | GOTZ -> ELPX | PG -> XO | EO -> GL | XG -> LZ | PG -> XO | LO -> XT | LT -> EZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | PZ -> EG | XG -> LZ | LT -> EZ | EO -> GL | LO -> XT | PG -> XO | EO -> GL | GOTZ -> ELPX | XG -> LZ | XG -> LZ | EO -> GL | PG -> XO | EO -> GL | PG -> XO | LO -> XT | LT -> EZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | PZ -> EG | XG -> LZ | LT -> EZ | EO -> GL | LO -> XT | PG -> XO | PG -> XO | XG -> LZ | LO -> XT | EO -> GL | GOTZ -> ELPX | EO -> GL | PG -> XO | LT -> EZ | EO -> GL | XG -> LZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | PZ -> EG | XG -> LZ | LT -> EZ | EO -> GL | LO -> XT | PG -> XO | XG -> LZ | LO -> XT | EO -> GL | GOTZ -> ELPX | PG -> XO | EO -> GL | PG -> XO | LT -> EZ | EO -> GL | XG -> LZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | PZ -> EG | XG -> LZ | LT -> EZ | EO -> GL | LO -> XT | XG -> LZ | EO -> GL | EO -> GL | PG -> XO | GOTZ -> ELPX | PG -> XO | EO -> GL | XG -> LZ | PG -> XO | LO -> XT | LT -> EZ
